"","Id","CreationDate","PostId","RelatedPostId","LinkTypeId"
"34","129361","2010-09-20T16:46:25.333","678","206","1"
"35","129416","2010-09-20T16:57:06.390","2731","1745","1"
"36","132231","2010-09-20T22:17:57.453","651","57","1"
"37","140164","2010-09-21T15:51:56.747","1963","135","1"
"38","140165","2010-09-21T15:51:56.747","1963","67","1"
"39","140166","2010-09-21T15:51:56.747","1963","100","1"
"40","141765","2010-09-21T18:29:41.133","5751","2254","1"
"41","142461","2010-09-21T19:43:02.317","296","177","1"
"42","143745","2010-09-21T21:25:24.870","5951","5898","1"
"43","143842","2010-09-21T21:35:01.000","5973","2260","1"
"44","148310","2010-09-22T09:43:54.147","6232","3629","1"
"45","149084","2010-09-22T11:21:47.823","3878","4460","1"
"46","155780","2010-09-22T22:23:57.240","6440","67","1"
"47","155781","2010-09-22T22:23:57.240","6440","100","1"
"48","155782","2010-09-22T22:23:57.240","6440","1963","1"
"49","156170","2010-09-22T22:59:42.313","3766","3272","1"
"50","158274","2010-09-23T03:54:53.163","5034","959","1"
"51","158299","2010-09-23T03:58:16.707","667","661","1"
"52","158349","2010-09-23T04:02:18.127","3440","2164","1"
"53","159565","2010-09-23T06:58:44.610","6268","6255","1"
"54","159616","2010-09-23T07:06:11.863","1814","1752","1"
"55","162165","2010-09-23T12:27:31.880","3086","101","1"
"56","164595","2010-09-23T16:04:51.090","6587","6545","1"
"57","164793","2010-09-23T16:34:14.503","2066","1814","1"
"58","165821","2010-09-23T18:33:30.310","6451","6503","1"
"59","168356","2010-09-23T22:55:01.687","6829","6395","1"
"60","172508","2010-09-24T10:34:23.840","1003","219","1"
"61","172510","2010-09-24T10:39:38.500","6631","35","1"
"62","176299","2010-09-24T17:34:50.060","7133","1902","1"
"63","178059","2010-09-24T20:23:09.030","6691","4587","1"
"64","178060","2010-09-24T20:23:09.030","6691","118","1"
"65","178644","2010-09-24T21:00:59.440","6946","4680","1"
"66","178645","2010-09-24T21:00:59.440","6946","1745","1"
"67","178695","2010-09-24T21:01:50.953","6864","275","1"
"68","179496","2010-09-24T22:17:19.873","6706","5038","1"
"69","179666","2010-09-24T22:25:36.037","5132","154","1"
"70","181029","2010-09-25T02:29:33.440","699","565","1"
"71","181030","2010-09-25T02:29:33.440","699","282","1"
"72","181031","2010-09-25T02:29:33.440","699","135","1"
"73","185914","2010-09-25T23:03:21.717","7230","539","1"
"74","188053","2010-09-26T08:54:04.090","7205","1006","1"
"75","191292","2010-09-26T21:32:17.143","7222","217","1"
"76","197145","2010-09-27T16:42:17.463","7536","7305","1"
"77","198033","2010-09-27T18:15:02.010","5259","1006","1"
"78","200966","2010-09-27T23:16:06.623","7648","344","1"
"79","203778","2010-09-28T07:47:56.600","1719","1189","1"
"80","205942","2010-09-28T14:24:41.627","3062","3023","1"
"81","206091","2010-09-28T14:50:06.447","5555","272","1"
"82","208644","2010-09-28T19:44:38.467","7329","2233","1"
"83","208645","2010-09-28T19:44:38.467","7329","742","1"
"84","220601","2010-09-29T20:57:05.967","8355","500","1"
"85","220602","2010-09-29T20:57:05.967","8355","7915","1"
"86","225551","2010-09-30T08:11:46.207","8222","6292","1"
"87","226463","2010-09-30T11:17:31.673","8479","2699","1"
"88","226584","2010-09-30T11:58:05.560","1237","67","1"
"89","226585","2010-09-30T11:58:05.560","1237","1006","1"
"90","226924","2010-09-30T12:32:33.190","8444","604","1"
"91","227570","2010-09-30T14:06:59.270","8473","272","1"
"92","232134","2010-09-30T22:34:32.917","8071","2776","1"
"93","232135","2010-09-30T22:34:32.917","8071","4765","1"
"94","232136","2010-09-30T22:34:32.917","8071","1360","1"
"95","232695","2010-09-30T23:46:12.270","8663","487","1"
"96","233473","2010-10-01T02:18:16.500","659","344","1"
"97","234389","2010-10-01T05:17:47.517","5038","2846","1"
"98","240676","2010-10-01T22:27:06.897","6333","180","1"
"99","244917","2010-10-02T14:15:19.933","8970","154","1"
"100","244944","2010-10-02T14:21:16.587","8967","39","1"
"101","245363","2010-10-02T15:19:32.117","7167","219","1"
"102","246216","2010-10-02T16:53:24.110","8995","870","1"
"103","252704","2010-10-03T19:57:00.153","3726","2846","1"
"104","252705","2010-10-03T19:57:00.153","3726","368","1"
"105","257276","2010-10-04T13:21:47.423","7439","7349","1"
"106","258135","2010-10-04T15:23:31.880","5048","501","1"
"107","258136","2010-10-04T15:23:31.880","5048","5038","1"
"108","259762","2010-10-04T18:50:50.287","9367","2757","1"
"109","261843","2010-10-04T23:29:13.300","8958","1371","1"
"110","263257","2010-10-05T03:40:39.487","4352","2261","1"
"111","265806","2010-10-05T12:12:04.950","1202","5555","1"
"112","267217","2010-10-05T14:57:39.847","9638","7592","1"
"113","269414","2010-10-05T18:34:11.917","9403","9367","1"
"114","269415","2010-10-05T18:34:11.917","9403","2757","1"
"115","270031","2010-10-05T19:55:50.770","9563","9503","1"
"116","270032","2010-10-05T19:55:50.770","9563","3519","1"
"117","271928","2010-10-05T22:16:32.697","6275","279","1"
"118","275538","2010-10-06T08:22:08.517","7566","1319","1"
"119","277054","2010-10-06T11:40:11.147","9864","1785","1"
"120","277468","2010-10-06T12:31:50.853","9631","729","1"
"121","277567","2010-10-06T12:59:18.357","2783","958","1"
"122","280034","2010-10-06T17:21:18.733","9221","8055","1"
"123","281753","2010-10-06T20:41:46.013","10013","2757","1"
"124","282384","2010-10-06T21:56:49.413","9927","7966","1"
"125","282603","2010-10-06T22:27:03.573","9180","361","1"
"126","282798","2010-10-06T23:08:36.927","9922","272","1"
"127","283081","2010-10-06T23:53:12.393","2233","6055","1"
"128","284256","2010-10-07T04:30:41.893","6014","311","1"
"129","285405","2010-10-07T08:58:51.793","7565","220","1"
"130","285928","2010-10-07T10:19:06.160","10115","7080","1"
"131","285929","2010-10-07T10:19:06.160","10115","5834","1"
"132","286339","2010-10-07T11:20:29.880","9308","1259","1"
"133","287727","2010-10-07T14:05:38.917","10114","2284","1"
"134","287728","2010-10-07T14:05:38.917","10114","9903","1"
"135","289032","2010-10-07T16:18:40.697","2654","1338","1"
"136","289033","2010-10-07T16:18:40.697","2654","1323","1"
"137","290795","2010-10-07T19:59:50.307","10173","8384","1"
"138","291312","2010-10-07T20:58:43.833","10326","7157","1"
"139","293460","2010-10-08T02:20:28.573","2623","2","1"
"140","294095","2010-10-08T04:25:51.090","7686","885","1"
"141","295454","2010-10-08T09:23:01.810","9083","6440","1"
"142","295455","2010-10-08T09:23:01.810","9083","100","1"
"143","295456","2010-10-08T09:23:01.810","9083","1963","1"
"144","298436","2010-10-08T16:20:26.307","10530","7859","1"
"145","299098","2010-10-08T17:33:09.640","1407","1341","1"
"146","299449","2010-10-08T18:13:24.637","2856","2323","1"
"147","301660","2010-10-08T22:43:43.473","3892","4063","1"
"148","302099","2010-10-08T23:53:40.243","10609","5215","1"
"149","302100","2010-10-08T23:53:40.243","10609","5055","1"
"150","302835","2010-10-09T03:12:48.000","10521","4969","1"
"151","304998","2010-10-09T14:15:52.250","8801","6067","1"
"152","304999","2010-10-09T14:15:52.250","8801","2846","1"
"153","305634","2010-10-09T16:36:25.450","5215","5055","1"
"154","305683","2010-10-09T16:46:17.663","10314","9922","1"
"155","307034","2010-10-09T20:36:04.723","10735","4693","1"
"156","307522","2010-10-09T22:07:27.147","3645","756","1"
"157","307523","2010-10-09T22:07:27.147","3645","3558","1"
"158","307573","2010-10-09T22:13:33.137","5780","3974","1"
"159","307577","2010-10-09T22:31:33.793","10523","4319","1"
"160","308133","2010-10-10T00:52:03.713","109","501","1"
"161","308405","2010-10-10T02:38:14.840","10731","940","1"
"162","308479","2010-10-10T03:07:11.907","6178","3851","1"
"163","308577","2010-10-10T03:37:19.357","10787","7426","1"
"164","308701","2010-10-10T04:39:31.540","10644","5435","1"
"165","308992","2010-10-10T06:44:59.073","886","1020","1"
"166","312561","2010-10-10T21:53:41.283","554","361","1"
"167","313494","2010-10-11T01:42:27.270","10726","44","1"
"168","314096","2010-10-11T03:50:56.020","10791","940","1"
"169","314683","2010-10-11T06:55:22.170","10692","1360","1"
"170","314927","2010-10-11T08:24:34.057","5972","6847","1"
"171","315880","2010-10-11T11:56:00.403","10547","10053","1"
"172","315881","2010-10-11T11:56:00.403","10547","616","1"
"173","316754","2010-10-11T14:24:49.323","2591","2492","1"
"174","316755","2010-10-11T14:24:49.323","2591","2226","1"
"175","316884","2010-10-11T14:41:19.550","10859","3129","1"
"176","317161","2010-10-11T15:28:15.143","7364","39","1"
"177","317580","2010-10-11T16:15:20.910","7126","5427","1"
"178","318671","2010-10-11T19:01:23.830","10845","238","1"
"179","319155","2010-10-11T20:00:36.810","11050","8721","1"
"180","319989","2010-10-11T21:24:36.827","8104","4888","1"
"181","321451","2010-10-12T01:02:03.417","7482","6929","1"
"182","322771","2010-10-12T04:55:45.763","6591","10609","1"
"183","324180","2010-10-12T10:37:08.377","6338","940","1"
"184","326593","2010-10-12T16:58:23.463","11209","3317","1"
"185","326594","2010-10-12T16:58:23.463","11209","4951","1"
"186","326840","2010-10-12T17:36:46.560","874","73","1"
"187","331047","2010-10-13T01:46:14.977","2541","2066","1"
"188","331867","2010-10-13T04:16:37.590","238","10845","1"
"189","332674","2010-10-13T07:14:25.700","11410","7080","1"
"190","332847","2010-10-13T08:09:09.667","4104","696","1"
"191","334735","2010-10-13T12:20:12.777","9598","8721","1"
"192","335451","2010-10-13T13:46:55.747","11125","7516","1"
"193","335748","2010-10-13T14:26:12.740","7395","5372","1"
"194","335921","2010-10-13T14:44:34.160","2982","238","1"
"195","335922","2010-10-13T14:46:25.837","567","9730","1"
"196","336984","2010-10-13T17:06:29.693","11371","11346","1"
"197","337798","2010-10-13T18:22:14.457","11033","2119","1"
"198","337799","2010-10-13T18:22:14.457","11033","9810","1"
"199","337800","2010-10-13T18:22:14.457","11033","9922","1"
"200","337826","2010-10-13T18:26:37.707","11771","11721","1"
"201","337925","2010-10-13T18:29:56.067","10340","8956","1"
"202","338462","2010-10-13T19:13:34.353","11751","2932","1"
"203","338463","2010-10-13T19:13:34.353","11751","7720","1"
"204","338974","2010-10-13T19:47:27.813","5297","648","1"
"205","339505","2010-10-13T20:41:40.450","11810","779","1"
"206","341041","2010-10-14T00:23:07.173","6442","6157","1"
"207","341851","2010-10-14T02:21:48.177","11589","1662","1"
"208","342265","2010-10-14T04:21:09.130","11844","6587","1"
"209","342683","2010-10-14T05:44:38.880","4","2410","1"
"210","343121","2010-10-14T07:25:40.330","7779","1745","1"
"211","343122","2010-10-14T07:25:40.330","7779","8886","1"
"212","343894","2010-10-14T09:30:06.277","11835","370","1"
"213","344116","2010-10-14T10:18:26.290","1386","4","1"
"214","344117","2010-10-14T10:18:26.290","1386","2410","1"
"215","344242","2010-10-14T11:01:42.503","1985","2410","1"
"216","344243","2010-10-14T11:01:42.503","1985","1386","1"
"217","344244","2010-10-14T11:01:42.503","1985","4","1"
"218","344245","2010-10-14T11:03:21.223","2909","4865","1"
"219","344246","2010-10-14T11:03:21.223","2909","913","1"
"220","344345","2010-10-14T11:28:35.313","7618","1059","1"
"221","346589","2010-10-14T16:14:29.823","370","837","1"
"222","347317","2010-10-14T17:31:24.097","11680","9","1"
"223","347859","2010-10-14T18:32:14.233","11726","10735","1"
"224","348513","2010-10-14T19:47:32.503","11523","2410","1"
"225","348514","2010-10-14T19:47:32.503","11523","4","1"
"226","348621","2010-10-14T20:02:52.707","885","893","1"
"227","348622","2010-10-14T20:08:36.637","893","885","1"
"228","349090","2010-10-14T21:30:15.850","1056","247","1"
"229","350116","2010-10-15T00:28:45.577","6284","6352","1"
"230","350167","2010-10-15T00:53:35.750","5233","8111","1"
"231","353197","2010-10-15T12:59:35.077","11153","9539","1"
"232","353295","2010-10-15T13:22:11.243","11951","6246","1"
"233","353729","2010-10-15T14:42:41.283","4172","487","1"
"234","354480","2010-10-15T16:26:00.757","12005","11856","1"
"235","355647","2010-10-15T18:23:44.723","11775","8988","1"
"236","360546","2010-10-16T12:04:27.773","12133","874","1"
"237","360911","2010-10-16T13:21:09.753","552","1202","1"
"238","360916","2010-10-16T13:23:46.383","9","344","1"
"239","361119","2010-10-16T14:27:21.670","12393","344","1"
"240","361488","2010-10-16T15:52:46.660","9055","816","1"
"241","361489","2010-10-16T15:52:46.660","9055","1202","1"
"242","361836","2010-10-16T16:51:03.763","35","154","1"
"243","362235","2010-10-16T17:54:34.503","10053","1006","1"
"244","363914","2010-10-17T00:52:17.220","2932","7720","1"
"245","364599","2010-10-17T03:53:22.543","8098","8120","1"
"246","365800","2010-10-17T08:51:51.483","12423","9730","1"
"247","366304","2010-10-17T11:14:11.393","5120","2164","1"
"248","368358","2010-10-17T19:23:34.923","501","2846","1"
"249","369367","2010-10-17T22:03:52.120","9629","2846","1"
"250","369368","2010-10-17T22:03:52.120","9629","1202","1"
"251","370472","2010-10-18T03:03:18.303","9730","3129","1"
"252","370473","2010-10-18T03:03:18.303","9730","12423","1"
"253","371181","2010-10-18T05:50:44.427","12522","4272","1"
"254","371353","2010-10-18T06:32:35.093","12472","11523","1"
"255","372670","2010-10-18T11:54:52.483","12626","5168","1"
"256","373156","2010-10-18T13:06:50.893","2575","370","1"
"257","373859","2010-10-18T14:47:22.123","12599","756","1"
"258","374254","2010-10-18T16:12:57.180","12645","6121","1"
"259","377144","2010-10-18T21:45:41.750","4693","4614","1"
"260","377145","2010-10-18T21:45:41.750","4693","9584","1"
"261","377146","2010-10-18T21:45:41.750","4693","1321","1"
"262","377821","2010-10-18T23:16:43.153","2227","5384","1"
"263","377822","2010-10-18T23:16:43.153","2227","1785","1"
"264","381201","2010-10-19T11:32:58.353","3974","1588","1"
"265","381445","2010-10-19T12:06:34.863","696","2323","1"
"266","382220","2010-10-19T14:13:36.487","4550","2846","1"
"267","382662","2010-10-19T15:01:54.267","12989","3849","1"
"268","382712","2010-10-19T15:18:33.257","1972","487","1"
"269","382713","2010-10-19T15:18:33.257","1972","2730","1"
"270","383388","2010-10-19T16:38:18.043","3732","552","1"
"271","385166","2010-10-19T20:41:31.873","237","51","1"
"272","386064","2010-10-19T22:18:29.910","12707","2410","1"
"273","386525","2010-10-19T23:36:58.267","4900","167","1"
"274","387255","2010-10-20T01:43:17.553","12070","11077","1"
"275","387256","2010-10-20T01:43:17.553","12070","9948","1"
"276","387545","2010-10-20T02:44:26.507","12915","8310","1"
"277","388103","2010-10-20T04:44:25.487","610","501","1"
"278","389116","2010-10-20T07:43:11.630","12992","8055","1"
"279","389192","2010-10-20T08:07:57.783","9161","7942","1"
"280","389193","2010-10-20T08:07:57.783","9161","18","1"
"281","389218","2010-10-20T08:21:29.987","6929","756","1"
"282","389825","2010-10-20T10:20:30.557","13214","12485","1"
"283","391181","2010-10-20T13:58:26.973","13270","3199","1"
"284","391596","2010-10-20T14:54:45.550","12248","870","1"
"285","391597","2010-10-20T14:54:45.550","12248","6974","1"
"286","393128","2010-10-20T18:19:06.083","13333","1108","1"
"287","393489","2010-10-20T19:12:06.123","634","501","1"
"288","396329","2010-10-21T03:04:43.807","9885","1","1"
"289","397127","2010-10-21T07:32:58.930","3317","272","1"
"290","397783","2010-10-21T10:16:50.300","13228","12971","1"
"291","398366","2010-10-21T13:05:24.913","4325","257","1"
"292","399433","2010-10-21T15:12:15.187","13443","1483","1"
"293","399943","2010-10-21T16:11:07.663","12971","13228","1"
"294","400403","2010-10-21T16:55:55.300","12766","2777","1"
"295","401085","2010-10-21T18:38:48.977","2730","487","1"
"296","401086","2010-10-21T18:38:48.977","2730","5490","1"
"297","401524","2010-10-21T19:32:03.573","12773","2240","1"
"298","403011","2010-10-21T22:47:07.860","6157","1913","1"
"299","403553","2010-10-22T00:02:29.003","4711","1785","1"
"300","403940","2010-10-22T01:05:48.760","13401","12186","1"
"301","407011","2010-10-22T10:35:41.993","3886","3629","1"
"302","408954","2010-10-22T15:20:29.750","13778","2777","1"
"303","409029","2010-10-22T15:23:40.443","2777","2715","1"
"304","409373","2010-10-22T16:02:20.690","9042","2846","1"
"305","409374","2010-10-22T16:02:20.690","9042","39","1"
"306","409375","2010-10-22T16:02:20.690","9042","368","1"
"307","409497","2010-10-22T16:13:02.017","13892","13902","1"
"308","409548","2010-10-22T16:17:19.600","13837","2715","1"
"309","409719","2010-10-22T16:23:58.423","2291","1706","1"
"310","410455","2010-10-22T17:24:06.527","9048","9042","1"
"311","410702","2010-10-22T17:53:54.193","13700","940","1"
"312","410778","2010-10-22T18:04:31.943","13789","5460","1"
"313","412435","2010-10-22T20:51:31.830","8886","3488","1"
"314","412919","2010-10-22T22:01:35.263","6067","4863","1"
"315","412920","2010-10-22T22:01:35.263","6067","1768","1"
"316","412921","2010-10-22T22:01:35.263","6067","6847","1"
"317","413020","2010-10-22T22:09:05.847","13751","11425","1"
"318","413052","2010-10-22T22:21:36.040","13757","8588","1"
"319","413279","2010-10-22T22:54:21.917","9119","6956","1"
"320","413353","2010-10-22T23:19:37.527","2846","696","1"
"321","413354","2010-10-22T23:19:37.527","2846","501","1"
"322","413355","2010-10-22T23:19:37.527","2846","2331","1"
"323","413356","2010-10-22T23:19:37.527","2846","358","1"
"324","413878","2010-10-23T01:48:06.150","13961","13384","1"
"325","414099","2010-10-23T02:24:54.940","13973","13282","1"
"326","414564","2010-10-23T04:53:20.780","14009","539","1"
"327","416596","2010-10-23T14:38:25.357","13072","13061","1"
"328","417351","2010-10-23T17:46:46.767","12357","1319","1"
"329","417352","2010-10-23T17:46:46.767","12357","7861","1"
"330","418562","2010-10-23T21:41:26.723","279","12762","1"
"331","418757","2010-10-23T22:02:11.387","10827","10605","1"
"332","420974","2010-10-24T11:13:08.790","1338","1","1"
"333","421366","2010-10-24T13:21:12.177","4460","3974","1"
"334","421658","2010-10-24T14:38:10.417","539","331","1"
"335","421956","2010-10-24T15:34:54.897","4433","552","1"
"336","422445","2010-10-24T17:35:42.280","4969","486","1"
"337","422542","2010-10-24T17:47:19.017","14239","1745","1"
"338","423540","2010-10-24T21:34:02.970","14183","8055","1"
"339","423785","2010-10-24T22:17:36.270","2284","2098","1"
"340","423810","2010-10-24T22:24:08.697","11633","10164","1"
"341","424582","2010-10-25T00:45:35.737","1018","39","1"
"342","424661","2010-10-25T01:05:21.683","14281","3129","1"
"343","425089","2010-10-25T01:54:14.660","14355","1202","1"
"344","425567","2010-10-25T02:45:12.750","2192","2148","1"
"345","425568","2010-10-25T02:45:12.750","2192","880","1"
"346","426532","2010-10-25T06:48:50.560","13424","9","1"
"347","427551","2010-10-25T09:53:18.883","4000","10804","1"
"348","427731","2010-10-25T10:26:24.653","7720","2932","1"
"349","428205","2010-10-25T11:49:50.947","2271","2272","1"
"350","428206","2010-10-25T11:49:50.947","2271","2264","1"
"351","429671","2010-10-25T15:19:28.143","14492","6395","1"
"352","430492","2010-10-25T16:55:43.253","12334","11049","1"
"353","430623","2010-10-25T17:18:57.883","14401","3233","1"
"354","430745","2010-10-25T17:38:19.193","4475","2185","1"
"355","431012","2010-10-25T18:09:20.007","11085","3558","1"
"356","431303","2010-10-25T18:57:21.103","11012","10930","1"
"357","431966","2010-10-25T20:30:30.083","9465","1913","1"
"358","432793","2010-10-25T21:34:06.363","14409","44","1"
"359","432895","2010-10-25T21:43:56.703","3849","1106","1"
"360","433750","2010-10-25T22:56:29.397","13279","2410","1"
"361","433751","2010-10-25T22:56:29.397","13279","12707","1"
"362","433752","2010-10-25T22:56:29.397","13279","1985","1"
"363","433753","2010-10-25T22:56:29.397","13279","1386","1"
"364","433754","2010-10-25T22:56:29.397","13279","10930","1"
"365","434292","2010-10-26T00:41:08.270","1599","4900","1"
"366","435139","2010-10-26T04:12:54.513","12017","9813","1"
"367","435677","2010-10-26T06:51:14.837","966","870","1"
"368","435727","2010-10-26T07:05:45.043","1267","2935","1"
"369","437042","2010-10-26T10:54:31.640","9062","368","1"
"370","437719","2010-10-26T12:08:30.450","14218","2654","1"
"371","438427","2010-10-26T12:57:56.317","13870","12017","1"
"372","438428","2010-10-26T12:58:08.937","1745","368","1"
"373","439126","2010-10-26T14:08:02.647","14601","11371","1"
"374","439127","2010-10-26T14:14:31.730","14356","7656","1"
"375","439128","2010-10-26T14:14:31.730","14356","3629","1"
"376","439129","2010-10-26T14:14:31.730","14356","2233","1"
"377","439130","2010-10-26T14:14:31.730","14356","11312","1"
"378","439590","2010-10-26T14:35:42.513","2323","696","1"
"379","439931","2010-10-26T14:49:25.850","6847","2846","1"
"380","440318","2010-10-26T15:46:54.857","2815","279","1"
"381","440417","2010-10-26T15:50:46.007","9378","7038","1"
"382","440893","2010-10-26T16:31:24.373","13958","874","1"
"383","440894","2010-10-26T16:31:24.373","13958","3747","1"
"384","441125","2010-10-26T16:51:41.907","14315","14297","1"
"385","441823","2010-10-26T17:59:05.530","14827","14706","1"
"386","442216","2010-10-26T18:51:00.993","11346","11312","1"
"387","442217","2010-10-26T18:51:00.993","11346","11371","1"
"388","442315","2010-10-26T18:58:27.927","14789","14169","1"
"389","442412","2010-10-26T19:01:28.743","14720","1360","1"
"390","442438","2010-10-26T19:08:58.333","14779","6834","1"
"391","442439","2010-10-26T19:11:22.597","14297","9062","1"
"392","442633","2010-10-26T19:31:50.070","167","5921","1"
"393","442996","2010-10-26T20:07:40.850","14808","6055","1"
"394","443815","2010-10-27T00:39:37.063","14720","13676","1"
"395","446229","2010-10-27T22:00:15.443","10334","15208","1"
"396","446374","2010-10-27T22:24:07.223","15216","11425","1"
"397","446569","2010-10-28T01:19:34.553","15239","10865","1"
"398","447225","2010-10-28T07:58:55.067","15286","8721","1"
"399","447418","2010-10-28T09:39:40.527","15269","9730","1"
"400","447972","2010-10-28T15:03:20.897","15360","15350","1"
"401","448069","2010-10-28T15:30:02.633","15360","11637","1"
"402","448986","2010-10-28T22:18:38.000","15456","7861","1"
"403","450314","2010-10-29T14:30:38.173","15564","13091","1"
"404","451113","2010-10-29T18:36:39.837","15536","5916","1"
"405","451234","2010-10-29T19:16:07.380","15636","2654","1"
"406","451283","2010-10-29T19:34:09.063","15635","3272","1"
"407","451647","2010-10-30T00:37:31.143","15636","57","1"
"408","452083","2010-10-30T11:21:58.577","15742","8721","1"
"409","452883","2010-10-30T20:26:56.493","15820","501","1"
"410","453704","2010-10-31T12:22:18.123","15887","14781","1"
"411","453899","2010-10-31T14:32:54.283","15887","11007","1"
"412","454044","2010-10-31T16:36:24.223","15916","15813","1"
"413","454820","2010-10-31T22:19:16.410","15962","870","1"
"414","456650","2010-11-02T00:14:01.033","16141","2846","1"
"415","457449","2010-11-02T09:59:50.453","16189","16070","1"
"416","458706","2010-11-02T18:04:49.513","16323","10675","1"
"417","458731","2010-11-02T18:09:42.210","10675","16323","1"
"418","458877","2010-11-02T18:32:44.153","16326","16308","1"
"419","466324","2010-11-04T17:23:46.540","13470","16689","1"
"420","466575","2010-11-04T18:27:32.787","16770","11425","1"
"421","466901","2010-11-04T19:38:23.507","16618","16301","1"
"422","466902","2010-11-04T19:38:23.507","16618","16070","1"
"423","467153","2010-11-04T19:59:26.227","16618","11153","1"
"424","468679","2010-11-04T23:22:54.243","16975","16905","1"
"425","470305","2010-11-05T05:19:20.040","17030","16618","1"
"426","472907","2010-11-05T15:30:06.897","17136","12696","1"
"427","473358","2010-11-05T16:57:05.657","17156","3629","1"
"428","473409","2010-11-05T17:17:38.260","17151","3726","1"
"429","476185","2010-11-06T04:59:12.817","17287","17009","1"
"430","478487","2010-11-06T22:52:17.943","2699","17206","1"
"431","479313","2010-11-07T06:33:56.173","17305","4433","1"
"432","479564","2010-11-07T09:54:56.563","17443","17254","1"
"433","479615","2010-11-07T10:19:35.190","17444","9539","1"
"434","484616","2010-11-08T14:31:18.120","17525","101","1"
"435","485692","2010-11-08T19:19:17.117","17710","17444","1"
"436","486618","2010-11-09T00:27:21.420","17757","16999","1"
"437","491844","2010-11-10T06:03:21.917","18059","4587","1"
"438","491845","2010-11-10T06:04:08.297","4587","18059","1"
"439","492221","2010-11-10T12:05:15.033","17976","10756","1"
"440","495397","2010-11-11T03:26:07.677","18282","7747","1"
"441","496673","2010-11-11T12:02:25.200","18351","3272","1"
"442","497824","2010-11-11T17:41:42.443","18120","3272","1"
"443","498825","2010-11-11T21:04:18.523","18495","4693","1"
"444","499201","2010-11-11T22:22:05.463","18518","18454","1"
"445","500302","2010-11-12T04:36:58.490","11175","14779","1"
"446","500853","2010-11-12T09:24:01.693","18556","17600","1"
"447","502179","2010-11-12T16:24:41.017","18667","17009","1"
"448","502530","2010-11-12T17:39:32.613","18669","11512","1"
"449","502606","2010-11-12T17:58:12.667","18704","14986","1"
"450","508707","2010-11-14T15:04:04.473","18912","10816","1"
"451","511433","2010-11-15T13:05:54.643","19055","18406","1"
"452","511634","2010-11-15T14:38:14.670","19055","8721","1"
"453","513835","2010-11-16T00:22:09.797","2051","19085","1"
"454","514086","2010-11-16T01:42:40.890","19225","15570","1"
"455","514387","2010-11-16T03:34:41.967","19241","756","1"
"456","515463","2010-11-16T10:33:09.957","6625","18899","1"
"457","516289","2010-11-16T14:43:35.453","19344","19244","1"
"458","517240","2010-11-16T16:04:45.693","19372","370","1"
"459","517466","2010-11-16T16:57:19.187","19391","14297","1"
"460","517542","2010-11-16T17:05:40.963","19384","1267","1"
"461","517543","2010-11-16T17:05:40.963","19384","1360","1"
"462","517544","2010-11-16T17:05:40.963","19384","14720","1"
"463","518420","2010-11-16T19:51:43.243","19274","17009","1"
"464","519146","2010-11-16T22:13:14.123","19384","3732","1"
"465","519272","2010-11-16T23:06:52.873","19465","18649","1"
"466","520073","2010-11-17T07:18:32.343","19549","7530","1"
"467","520074","2010-11-17T07:18:32.343","19549","19071","1"
"468","521000","2010-11-17T13:02:24.347","19586","17287","1"
"469","522901","2010-11-17T21:49:36.543","19718","6476","1"
"470","523802","2010-11-18T07:43:29.200","19750","19719","1"
